#{"t_start": 1781498531.4854944, "env_id": "CarRacing-v3"}
r,l,t
861.130742,1000,39.025601
870.0,1000,68.520738
864.052288,1000,100.577158
859.866221,1000,129.243148
848.051948,1000,161.91941
803.345725,1000,192.060677
842.122186,1000,316.706801
629.032258,1000,343.159865
924.5,755,363.627399
848.717949,1000,394.193793
873.293769,1000,424.107944
872.027972,1000,452.808391
888.505747,1000,564.375607
925.6,744,587.684076
890.353698,1000,618.789575
929.5,705,639.845076
682.747604,1000,671.106748
927.1,729,692.914406
929.1,709,713.287983
831.818182,1000,742.02666
808.045977,1000,848.964222
866.777409,1000,877.289565
865.753425,1000,908.464738
872.60274,1000,938.769545
852.542373,1000,970.495948
924.3,757,992.936953
685.488959,1000,1112.998556
889.619377,1000,1146.114314
521.710526,1000,1174.808401
881.203008,1000,1205.203354
685.25641,1000,1238.721548
861.805556,1000,1269.971576
350.104418,761,1292.253334
426.479751,1000,1407.597067
103.187251,1000,1437.285208
889.655172,1000,1468.346923
933.4,666,1491.814498
925.4,746,1515.818856
647.572816,1000,1547.266644
869.78852,1000,1677.19927
848.717949,1000,1710.56065
903.9,961,1740.00131
916.0,840,1764.029266
896.240602,1000,1794.081359
921.2,788,1821.229975
864.412811,1000,1852.66426
858.199357,1000,1965.520227
299.380805,1000,1994.78531
865.299685,1000,2023.353131
861.661342,1000,2050.902608
664.900662,1000,2080.493863
889.655172,1000,2110.07568
890.033223,1000,2221.111327
919.7,803,2245.324811
878.723404,1000,2275.10471
910.1,899,2301.148647
886.970684,1000,2328.997274
872.696246,1000,2359.891731
896.539792,1000,2389.760947
883.974359,1000,2512.412333
913.9,861,2534.705893
919.3,807,2558.191285
889.966555,1000,2588.677598
918.3,817,2612.352019
624.252492,1000,2643.878201
874.193548,1000,2675.348433
892.565056,1000,2791.661582
923.5,765,2816.002144
893.377483,1000,2844.904444
860.784314,1000,2876.452584
890.196078,1000,2906.565845
840.520446,1000,2935.78297
699.242424,1000,3048.044163
876.821192,1000,3079.689838
902.5,975,3110.822419
869.283276,1000,3143.040703
893.39934,1000,3175.597621
930.3,697,3202.506924
882.142857,1000,3236.494623
911.4,886,3362.935263
889.051095,1000,3397.83237
892.753623,1000,3431.846598
896.941896,1000,3461.116177
884.47205,1000,3492.197459
856.521739,1000,3521.975829
882.195846,1000,3630.688649
896.688742,1000,3658.681347
563.608563,1000,3688.215386
860.0,1000,3717.208826
682.874618,1000,3744.749622
883.221477,1000,3773.195114
883.660131,1000,3880.246197
756.321839,1000,3909.570077
893.76947,1000,3937.55185
702.013423,1000,3967.025012
887.704918,1000,3995.703683
857.654723,1000,4022.221075
887.301587,1000,4051.754939
892.882562,1000,4158.771625
863.076923,1000,4187.876699
613.355049,1000,4216.897491
896.350365,1000,4246.223972
881.549815,1000,4275.248289
934.4,656,4293.863636
909.0,910,4398.913256
868.847352,1000,4427.984096
881.481481,1000,4457.330876
727.794562,1000,4486.264871
877.564103,1000,4513.782174
889.89899,1000,4543.034195
892.857143,1000,4572.005226
889.399293,1000,4677.926976
722.580645,1000,4706.798039
889.051095,1000,4736.445544
885.663082,1000,4765.217892
925.9,741,4785.347835
886.111111,1000,4814.689307
916.7,833,4917.014817
265.030675,1000,4945.331187
880.456026,1000,4971.766754
870.198675,1000,5001.191527
267.213115,1000,5029.579116
883.443709,1000,5058.576261
634.138973,1000,5166.167115
927.3,727,5186.235374
865.986395,1000,5215.057511
696.923077,1000,5244.340128
874.452555,1000,5273.140297
700.0,1000,5302.695635
588.385269,1000,5331.568114
886.622074,1000,5437.923835
933.2,668,5456.408648
865.635739,1000,5484.849582
870.394737,1000,5514.350035
865.635739,1000,5542.7281
870.684039,1000,5571.681923
925.0,750,5593.173097
865.648855,1000,5712.046518
892.217899,1000,5740.581234
881.273408,1000,5769.749642
812.5,1000,5799.939898
555.737705,1000,5828.892443
619.178082,1000,5858.127024
869.924812,1000,5965.650954
886.970684,1000,5994.580796
896.610169,1000,6023.83256
846.488294,1000,6052.695957
872.508591,1000,6082.421079
864.664311,1000,6111.581303
426.315789,1000,6218.737634
940.2,598,6235.882715
921.4,786,6257.438536
483.333333,1000,6286.868106
861.904762,1000,6315.85428
795.27027,1000,6344.710646
933.2,668,6365.660278
682.142857,1000,6470.751012
896.677741,1000,6500.528785
621.428571,1000,6529.447017
923.9,761,6552.609657
858.466454,1000,6581.693999
920.8,792,6603.380844
888.593156,1000,6632.674829
599.346405,1000,6739.523098
921.0,790,6763.350029
839.929329,1000,6793.160482
908.6,914,6819.827601
635.395189,1000,6849.040401
929.8,702,6868.577352
268.876081,1000,6897.276187
838.405797,1000,7003.894935
772.611465,1000,7032.735461
886.486486,1000,7062.119519
886.486486,1000,7091.50784
928.6,714,7111.578421
884.70948,1000,7140.943403
888.059701,1000,7169.784139
892.592593,1000,7276.871605
883.81877,1000,7304.768701
887.012987,1000,7333.078984
934.4,656,7351.367343
941.0,590,7367.752287
711.940299,1000,7397.432411
893.220339,1000,7426.368956
801.315789,1000,7534.125283
889.323843,1000,7563.142544
846.268657,1000,7592.029506
893.377483,1000,7621.249675
926.3,737,7641.354938
887.878788,1000,7670.118576
862.318841,1000,7780.039902
892.424242,1000,7809.171173
892.932862,1000,7838.391392
865.517241,1000,7867.315253
857.928803,1000,7896.868022
884.732824,1000,7925.625875
896.031746,1000,8032.475348
934.9,651,8050.669292
874.074074,1000,8079.655872
922.2,778,8103.55467
912.7,873,8127.073424
931.7,683,8148.119222
929.7,703,8168.372206
939.8,602,8185.124514
930.3,697,8206.187119
652.767528,1000,8314.377458
853.125,1000,8343.242004
929.0,710,8362.923862
930.2,698,8382.57076
773.720137,1000,8411.317886
863.087248,1000,8440.047794
882.45614,1000,8547.80526
935.1,649,8567.723297
849.494949,1000,8595.611874
933.3,667,8616.321104
877.358491,1000,8645.046405
893.031359,1000,8674.553488
875.535168,1000,8703.378205
890.163934,1000,8812.155421
809.375,1000,8841.453848
896.69967,1000,8869.15471
929.7,703,8890.845177
919.7,803,8912.79345
929.3,707,8934.513373
882.935154,1000,8963.56222
914.5,855,8986.885413
932.0,680,9086.791606
933.5,665,9105.184925
922.7,773,9128.451107
902.8,972,9155.157048
937.3,627,9174.738927
923.8,762,9195.9855
549.484536,1000,9225.346733
892.957746,1000,9333.215079
925.3,747,9356.320715
721.428571,1000,9383.176263
917.5,825,9407.749454
925.1,749,9430.908963
887.616099,1000,9459.913062
945.9,541,9475.267413
854.225352,1000,9504.799772
374.576271,1000,9610.654682
911.4,886,9636.972069
920.8,792,9660.705167
867.948718,1000,9689.94078
893.569132,1000,9719.231291
933.8,662,9737.385464
876.666667,1000,9766.176471
938.6,614,9863.061966
877.777778,1000,9891.736056
929.5,705,9911.564774
825.423729,1000,9940.423713
938.5,615,9959.549066
666.101695,1000,9989.00181
925.0,750,10009.468257
842.307692,1000,10116.749927
919.6,804,10141.338817
893.442623,1000,10168.153223
854.983923,1000,10197.560696
931.4,686,10218.563246
889.51049,1000,10247.345993
930.0,700,10267.371532
889.761092,1000,10375.861121
883.050847,1000,10405.127522
924.1,759,10426.171522
882.758621,1000,10455.123751
930.1,699,10476.914368
606.25,1000,10506.080714
893.690852,1000,10535.174932
