#{"t_start": 1781498531.4854784, "env_id": "CarRacing-v3"}
r,l,t
910.6,894,35.921008
903.3,967,64.790307
886.013986,1000,96.851722
692.993631,1000,125.919429
914.3,857,152.804375
855.631399,1000,184.051157
916.0,840,304.093798
886.754967,1000,332.019047
885.507246,1000,356.917364
921.7,783,379.63365
937.0,630,399.61347
876.027397,1000,429.574653
804.907975,1000,461.762936
886.254296,1000,571.936802
888.764045,1000,603.129412
825.149701,1000,633.757788
874.820144,1000,664.814903
498.705502,1000,693.851467
856.521739,1000,723.293267
896.621622,1000,830.823907
917.2,828,852.992919
893.127148,1000,881.501357
829.012346,1000,912.735727
879.310345,1000,943.292615
860.960961,1000,974.83124
893.311037,1000,1006.065882
354.80226,1000,1126.606526
657.48503,1000,1157.464642
934.3,657,1176.379024
827.444795,1000,1206.936994
885.714286,1000,1240.375463
859.866221,1000,1271.388482
879.020979,1000,1386.589018
846.488294,1000,1417.454005
926.2,738,1438.19705
858.62069,1000,1469.337933
557.534247,1000,1502.742923
874.683544,1000,1535.202228
478.767123,1000,1566.886655
871.428571,1000,1696.874357
807.738095,1000,1728.336596
871.698113,1000,1758.883181
838.77551,1000,1788.800586
852.662722,1000,1822.278852
874.110032,1000,1853.955985
904.3,957,1965.256704
889.619377,1000,1994.500273
872.0,1000,2023.091094
835.897436,1000,2050.662784
860.0,1000,2080.253685
885.239852,1000,2107.839881
887.5,1000,2220.83561
916.7,833,2245.81364
892.753623,1000,2275.639599
886.79868,1000,2304.458069
916.7,833,2327.879099
864.412811,1000,2358.529664
923.3,767,2382.232323
867.272727,1000,2503.813735
889.43662,1000,2531.344856
888.721805,1000,2559.620591
896.078431,1000,2590.016219
740.0,1000,2620.430487
887.220447,1000,2652.333146
913.1,869,2678.273418
934.7,653,2785.339309
922.8,772,2807.345395
869.811321,1000,2837.824858
864.85623,1000,2867.878675
882.758621,1000,2898.316925
873.684211,1000,2927.927544
868.19788,1000,3041.719786
875.862069,1000,3072.90391
869.348659,1000,3104.838486
924.9,751,3128.302752
874.820144,1000,3159.71037
916.5,835,3189.057153
919.7,803,3218.473559
902.4,976,3347.743211
865.870307,1000,3381.792958
916.6,834,3412.285707
838.080495,1000,3443.835718
877.419355,1000,3474.539415
910.2,898,3502.018327
883.050847,1000,3531.850966
879.381443,1000,3639.405624
893.39934,1000,3668.420204
924.8,752,3689.587472
896.466431,1000,3718.600043
713.72549,1000,3746.110672
852.380952,1000,3774.662632
890.25974,1000,3881.593213
893.442623,1000,3910.917968
925.3,747,3931.456901
875.609756,1000,3959.684034
908.8,912,3986.768182
896.336996,1000,4015.237126
859.183673,1000,4044.696918
932.3,677,4141.905642
855.479452,1000,4170.910676
937.1,629,4188.467417
889.43662,1000,4217.462324
881.203008,1000,4246.71934
929.8,702,4268.464077
931.5,685,4287.716405
890.0,1000,4394.905792
885.559567,1000,4423.982353
930.9,691,4443.340183
686.407767,1000,4472.814128
892.592593,1000,4501.61753
870.37037,1000,4529.500342
890.25974,1000,4558.362764
790.282132,1000,4664.335818
910.4,896,4690.481296
888.970588,1000,4719.449708
705.031447,1000,4748.936288
857.446809,1000,4777.693876
870.37037,1000,4807.000528
893.377483,1000,4913.313577
923.0,770,4934.488347
901.0,990,4960.763399
888.929889,1000,4989.474065
890.09901,1000,5018.939959
924.4,756,5038.996206
900.4,996,5067.985571
619.101124,1000,5175.254505
900.5,995,5203.770082
523.05296,1000,5233.032791
912.8,872,5258.786091
866.666667,1000,5288.289417
892.70073,1000,5317.393523
927.5,725,5337.585
883.443709,1000,5443.669599
890.415335,1000,5471.946851
925.3,747,5494.571702
864.426877,1000,5524.003372
616.049383,1000,5550.60622
932.2,678,5571.406158
863.934426,1000,5600.98083
245.890411,1000,5720.354241
921.6,784,5741.171156
332.098765,1000,5770.357163
857.654723,1000,5800.530554
857.142857,1000,5829.509465
845.454545,1000,5858.779826
387.179487,1000,5966.256306
879.381443,1000,5995.299282
518.461538,1000,6024.491404
934.2,658,6042.805873
882.206406,1000,6072.353181
844.272446,1000,6101.546346
928.6,714,6121.528517
551.340996,1000,6228.693657
924.3,757,6251.715698
837.5,1000,6281.200862
837.5,1000,6310.201761
875.903614,1000,6338.777824
838.983051,1000,6368.182749
893.079585,1000,6475.491122
871.428571,1000,6505.19355
377.777778,1000,6533.944608
888.636364,1000,6563.2775
858.677686,1000,6590.030265
890.131579,1000,6618.941157
893.055556,1000,6647.996984
924.8,752,6749.180866
697.250859,1000,6778.472041
704.878049,1000,6807.927568
850.146628,1000,6837.157621
922.0,780,6858.282593
865.299685,1000,6887.186437
795.306859,1000,6994.065687
892.509363,1000,7022.651529
870.491803,1000,7052.212243
896.621622,1000,7081.254517
881.012658,1000,7110.489094
921.8,782,7132.373923
806.122449,1000,7161.228995
921.6,784,7262.912591
871.631206,1000,7291.18687
921.0,790,7312.666014
924.8,752,7334.662467
925.5,745,7355.176575
873.244147,1000,7384.26742
916.6,834,7409.482121
889.323843,1000,7516.782219
602.614379,1000,7546.128916
929.2,708,7565.92522
679.179811,1000,7594.602617
901.9,981,7623.410607
933.2,668,7641.837669
884.802432,1000,7670.617557
911.6,884,7777.642786
869.69697,1000,7806.685357
926.9,731,7829.381231
938.4,616,7846.475921
878.26087,1000,7875.45681
883.974359,1000,7904.948123
677.027027,1000,7933.766114
905.0,950,8037.599001
889.43662,1000,8066.542998
878.417266,1000,8095.61887
876.821192,1000,8124.436604
932.3,677,8145.444555
837.062937,1000,8174.979121
700.738007,1000,8203.513137
890.196078,1000,8309.640877
919.5,805,8333.574836
876.973684,1000,8362.539752
935.8,642,8380.875288
679.761905,1000,8409.624044
921.6,784,8433.01476
941.2,588,8449.706092
877.564103,1000,8557.229594
844.664032,1000,8586.993892
880.19802,1000,8615.97438
882.578397,1000,8644.6654
929.0,710,8665.014108
841.979522,1000,8693.591183
706.779661,1000,8723.005233
927.8,722,8822.728064
893.311037,1000,8852.151684
862.962963,1000,8881.81351
943.3,567,8897.763547
937.3,627,8917.311867
861.538462,1000,8946.687477
931.4,686,8965.963533
879.020979,1000,9073.306357
927.3,727,9093.671112
932.6,674,9114.245628
769.84127,1000,9143.294888
889.247312,1000,9172.6171
937.4,626,9190.473869
893.243243,1000,9219.793009
695.031056,1000,9248.818956
896.621622,1000,9357.118649
889.323843,1000,9386.066403
807.051282,1000,9414.831645
870.149254,1000,9442.19011
888.095238,1000,9471.172806
889.361702,1000,9500.748395
916.1,839,9604.666847
916.7,833,9629.259807
929.5,705,9649.073245
931.5,685,9668.457904
948.8,512,9683.270994
829.054054,1000,9712.303067
893.127148,1000,9741.145602
764.0,1000,9849.35682
871.014493,1000,9878.392399
