#{"t_start": 1781498531.5016706, "env_id": "CarRacing-v3"}
r,l,t
914.0,860,34.796482
782.352941,1000,64.730901
859.183673,1000,96.792545
883.870968,1000,125.847868
909.4,906,154.426297
886.970684,1000,185.546
277.622378,1000,310.142733
880.263158,1000,337.852509
826.380368,1000,363.866315
537.065637,1000,394.460253
875.609756,1000,424.370673
885.130112,1000,453.158784
886.486486,1000,564.671363
874.169742,1000,595.317994
584.542587,1000,626.084813
860.854093,1000,657.240586
928.0,720,679.576604
875.088968,1000,708.943953
854.407295,1000,737.766633
888.721805,1000,844.841486
931.0,690,864.0414
817.562724,1000,894.239298
862.732919,1000,925.201936
842.748092,1000,954.856175
510.526316,1000,986.851653
867.032967,1000,1107.103672
878.723404,1000,1139.411129
875.438596,1000,1168.965506
880.519481,1000,1198.344563
896.078431,1000,1230.894224
915.9,841,1256.806319
871.153846,1000,1288.048802
853.947368,1000,1403.719214
887.220447,1000,1433.305759
886.15917,1000,1464.322956
882.45614,1000,1497.489166
241.782671,807,1522.987373
925.5,745,1547.132434
700.0,1000,1677.039162
886.30137,1000,1710.454494
710.734463,1000,1740.984805
269.127517,1000,1771.067028
400.968852,770,1793.13427
605.084746,1000,1826.572948
658.741259,1000,1858.223707
879.094077,1000,1970.137983
882.332155,1000,1999.7402
889.690722,1000,2027.691488
857.055215,1000,2055.221267
890.131579,1000,2084.716116
819.732441,1000,2114.349862
921.6,784,2220.122721
928.4,716,2241.800782
887.179487,1000,2271.486835
878.10219,1000,2300.539442
887.460815,1000,2328.418737
890.353698,1000,2359.213782
924.0,760,2382.593879
921.9,781,2497.767859
882.578397,1000,2526.364295
921.1,789,2548.090104
861.24031,1000,2577.824632
788.489209,1000,2607.683279
859.409594,1000,2638.943084
918.3,817,2665.62029
871.631206,1000,2782.082922
871.731449,1000,2810.306026
915.1,849,2836.521798
924.7,753,2859.396101
924.1,759,2882.852078
880.519481,1000,2912.639282
777.742947,1000,2941.856262
905.0,950,3055.056937
654.601227,1000,3086.943825
864.169381,1000,3119.055931
893.527508,1000,3150.363171
885.074627,1000,3183.866888
880.263158,1000,3219.335967
893.174061,1000,3351.459819
882.394366,1000,3386.359362
881.203008,1000,3419.576711
838.110749,1000,3449.538493
879.381443,1000,3480.602558
926.9,731,3503.610307
877.564103,1000,3533.377652
689.173789,1000,3640.675242
517.161716,1000,3669.66755
928.2,718,3690.01064
889.655172,1000,3719.093304
881.684982,1000,3746.60862
929.7,703,3765.888404
912.7,873,3791.736711
911.5,885,3895.880203
874.074074,1000,3924.850468
889.966555,1000,3952.649308
917.4,826,3975.898428
750.533808,1000,4004.651367
892.907801,1000,4033.488213
870.260223,1000,4141.191402
836.454849,1000,4170.123815
569.014085,1000,4198.93974
877.491961,1000,4228.186798
884.802432,1000,4257.309325
935.0,650,4275.529723
912.2,878,4301.546352
878.181818,1000,4409.278988
624.832215,1000,4438.131464
894.100295,1000,4467.583248
882.935154,1000,4496.409574
864.052288,1000,4524.187949
932.7,673,4542.933949
881.617647,1000,4571.907887
878.947368,1000,4677.826699
883.050847,1000,4706.696656
888.549618,1000,4736.34707
622.044728,1000,4765.083098
667.676768,1000,4793.713035
858.064516,1000,4822.863192
666.773163,1000,4929.451315
885.507246,1000,4955.983376
825.675676,1000,4984.643976
903.9,961,5011.264908
917.7,823,5034.917816
865.408805,1000,5063.924363
683.783784,1000,5171.321338
921.7,783,5192.647146
235.548173,1000,5221.856059
859.119497,1000,5250.865791
879.72973,1000,5279.82621
935.1,649,5300.526319
883.164983,1000,5329.413881
928.7,713,5426.409311
638.983051,1000,5455.34611
896.666667,1000,5483.653967
927.8,722,5504.003689
613.780919,1000,5533.080105
860.992908,1000,5561.545866
854.703833,1000,5591.393341
930.4,696,5700.181726
746.153846,1000,5730.343794
930.2,698,5750.422254
724.324324,1000,5780.06681
376.780186,1000,5809.928285
870.260223,1000,5838.746414
886.111111,1000,5868.147443
928.5,715,5966.584769
