#{"t_start": 1781498531.4853837, "env_id": "CarRacing-v3"}
r,l,t
878.26087,1000,39.023672
791.975309,1000,68.520907
905.1,949,99.207551
914.8,852,124.286072
916.9,831,150.063201
770.967742,1000,180.082948
820.382166,1000,306.258737
888.142292,1000,333.766162
866.666667,1000,358.538967
551.408451,1000,388.001597
928.9,711,410.099791
846.843854,1000,442.036894
805.923345,1000,473.584637
886.486486,1000,583.349481
846.031746,1000,614.618876
812.751678,1000,643.509645
768.589744,1000,674.782968
917.7,823,698.819976
874.025974,1000,728.17546
781.619938,1000,836.199136
729.431438,1000,863.804463
860.0,1000,893.969219
677.777778,1000,924.932673
880.952381,1000,954.555282
907.4,926,984.537483
656.097561,1000,1104.851913
573.469388,1000,1134.87428
884.313725,1000,1165.401655
859.854015,1000,1193.868678
560.377358,1000,1228.189222
866.555184,1000,1258.927192
877.346278,1000,1290.248141
863.087248,1000,1405.71289
428.66242,1000,1435.407003
932.4,676,1455.714327
916.8,832,1483.276988
919.8,802,1511.05811
734.80826,1000,1542.507002
697.909408,1000,1574.336909
866.666667,1000,1705.703946
851.008646,1000,1734.342774
760.841424,1000,1764.80575
872.413793,1000,1794.861314
883.388704,1000,1828.39611
890.415335,1000,1860.020438
888.847584,1000,1971.893319
922.7,773,1995.247577
190.773203,590,2011.987266
887.854251,1000,2038.978171
924.9,751,2059.799931
922.7,773,2083.522667
867.930029,1000,2113.139689
885.815603,1000,2226.39433
932.9,671,2245.222182
930.5,695,2264.885332
913.5,865,2291.701663
642.857143,1000,2319.011566
929.7,703,2338.763451
869.41896,1000,2370.384332
915.0,850,2395.713932
918.3,817,2513.272991
868.208092,1000,2540.807195
886.348123,1000,2570.378172
710.495627,1000,2598.291601
885.130112,1000,2629.171391
889.473684,1000,2660.668098
896.575342,1000,2777.698085
350.0,1000,2807.72817
816.913947,1000,2838.307895
917.6,824,2863.161741
882.206406,1000,2894.199077
929.2,708,2914.555956
926.1,739,2937.011585
888.80597,1000,3051.368259
684.511785,1000,3083.495759
885.663082,1000,3113.227481
889.51049,1000,3145.027713
860.13289,1000,3177.619585
884.177215,1000,3213.32768
921.6,784,3241.14314
892.125984,1000,3373.269609
883.92283,1000,3408.475179
885.964912,1000,3440.065592
916.2,838,3463.953887
922.7,773,3489.139404
847.530864,1000,3518.972924
870.873786,1000,3627.83769
934.2,658,3645.248499
689.644013,1000,3674.179551
890.066225,1000,3703.547113
881.949458,1000,3731.941475
880.46875,1000,3760.177333
873.856209,1000,3788.94285
884.790875,1000,3896.116369
865.517241,1000,3925.036402
876.351351,1000,3952.86923
497.52322,1000,3982.407566
874.545455,1000,4010.795745
929.5,705,4030.524537
864.169381,1000,4138.450509
896.845426,1000,4167.118343
870.909091,1000,4196.138154
892.565056,1000,4225.395593
883.221477,1000,4254.517807
863.69637,1000,4283.711777
920.8,792,4305.312793
884.520124,1000,4412.925115
928.2,718,4434.865151
918.1,819,4457.589799
903.0,970,4485.766761
892.619926,1000,4513.321491
912.0,880,4539.624532
875.778547,1000,4568.653703
870.80292,1000,4674.237363
888.721805,1000,4703.246565
882.206406,1000,4732.740868
833.333333,1000,4761.553967
697.058824,1000,4788.255611
881.949458,1000,4817.601273
881.818182,1000,4924.12835
866.442953,1000,4952.469464
896.732026,1000,4979.235054
799.280576,1000,5008.687688
876.821192,1000,5036.89441
893.103448,1000,5066.0
678.546713,1000,5173.282824
895.967742,1000,5201.942658
336.170213,1000,5231.275422
880.645161,1000,5260.149834
893.78882,1000,5289.680316
885.40146,1000,5318.680775
855.555556,1000,5424.675059
935.7,643,5442.92667
729.508197,1000,5471.2721
862.546816,1000,5500.391374
880.066445,1000,5529.546811
934.4,656,5547.599865
858.506224,1000,5576.912457
893.265993,1000,5695.422129
589.768977,1000,5725.694789
933.7,663,5743.173509
919.4,806,5767.530213
738.283828,1000,5797.700988
877.917981,1000,5826.660541
918.2,818,5849.053746
876.190476,1000,5956.595685
750.980392,1000,5985.524151
377.443609,1000,6015.024308
851.768489,1000,6044.046865
922.0,780,6067.898807
877.099237,1000,6097.237802
854.063604,1000,6126.33543
828.327645,1000,6233.482634
927.5,725,6253.740026
934.3,657,6272.383807
931.6,684,6293.516085
889.583333,1000,6322.441788
889.655172,1000,6351.503344
889.090909,1000,6380.398409
932.5,675,6477.931531
887.138264,1000,6507.540464
864.788732,1000,6536.526413
886.111111,1000,6565.878934
889.932886,1000,6594.441459
871.014493,1000,6623.503941
422.796353,1000,6652.372164
889.51049,1000,6759.565065
885.765125,1000,6787.510649
876.190476,1000,6816.409075
888.847584,1000,6845.525661
929.8,702,6867.084944
882.517483,1000,6895.781733
856.25,1000,7002.391968
924.3,757,7023.270663
866.555184,1000,7052.765566
924.2,758,7075.593629
889.323843,1000,7104.8497
930.7,693,7124.57431
694.117647,1000,7153.580684
889.655172,1000,7260.624557
851.12782,1000,7288.818523
931.8,682,7307.714159
888.970588,1000,7335.869891
926.4,736,7356.180853
879.72973,1000,7385.256955
876.0,1000,7414.666781
932.8,672,7513.713508
874.842767,1000,7543.110352
923.1,769,7564.410159
889.208633,1000,7593.175714
883.122363,1000,7622.382135
890.853659,1000,7651.147986
892.779783,1000,7680.57275
884.076433,1000,7789.482579
889.690722,1000,7819.191926
932.5,675,7838.017887
886.970684,1000,7866.939342
874.025974,1000,7896.456788
882.993197,1000,7925.258642
880.89172,1000,8032.12287
933.4,666,8050.669295
876.666667,1000,8079.655757
934.5,655,8100.365518
858.90411,1000,8127.187364
889.864865,1000,8156.159285
858.188153,1000,8185.558239
873.154362,1000,8292.86949
880.327869,1000,8322.328567
892.727273,1000,8351.248679
373.354232,1000,8380.384798
879.72973,1000,8409.181824
889.247312,1000,8437.827288
886.394558,1000,8467.054434
885.074627,1000,8574.399292
896.575342,1000,8604.123024
893.464052,1000,8632.965675
885.02994,1000,8662.381796
882.45614,1000,8691.077421
929.2,708,8710.866073
936.4,636,8808.638232
926.4,736,8831.252242
892.727273,1000,8860.620949
922.6,774,8882.570145
774.576271,1000,8911.313917
893.377483,1000,8940.735137
852.542373,1000,8969.671391
927.4,726,9070.138316
871.014493,1000,9099.350872
911.5,885,9123.352983
920.2,798,9147.523997
878.26087,1000,9176.718534
890.291262,1000,9205.73079
936.2,638,9224.023299
262.5,1000,9331.909855
923.4,766,9353.212437
