#{"t_start": 1781498531.4844847, "env_id": "CarRacing-v3"}
r,l,t
906.0,940,37.264566
871.014493,1000,66.893641
639.884393,1000,98.957062
874.440895,1000,127.819126
919.1,809,153.871695
393.464052,1000,184.985791
865.986395,1000,309.664924
807.643312,1000,337.444135
889.130435,1000,363.479683
860.431655,1000,394.03047
864.912281,1000,421.007111
864.516129,1000,452.619787
892.277992,1000,564.211767
840.809969,1000,594.849879
870.198675,1000,625.569524
888.416988,1000,656.792613
468.253968,1000,686.63813
857.236842,1000,716.023203
869.387755,1000,745.00934
869.899666,1000,851.745293
866.789668,1000,880.059492
866.777409,1000,911.358559
876.271186,1000,941.779454
870.0,1000,973.491139
666.323024,1000,1004.655883
453.264605,1000,1125.200185
874.193548,1000,1156.091193
931.4,686,1175.779731
889.285714,1000,1206.325333
875.778547,1000,1239.773669
825.566343,1000,1270.858263
604.318937,1000,1386.013441
527.45098,1000,1416.853293
935.5,645,1435.021181
923.1,769,1459.471204
866.666667,1000,1492.595798
764.40678,1000,1525.114174
858.333333,1000,1555.92285
797.058824,1000,1685.293689
835.94306,1000,1718.344346
851.851852,1000,1748.837844
933.4,666,1769.440703
661.245675,1000,1799.816368
932.6,674,1822.05506
838.697318,1000,1853.77834
557.342657,1000,1966.269336
529.62963,1000,1995.624391
874.545455,1000,2023.992273
862.382445,1000,2051.60498
871.223022,1000,2081.145946
878.125,1000,2110.725079
877.564103,1000,2224.005257
878.947368,1000,2251.123915
882.142857,1000,2281.240429
869.283276,1000,2309.666342
888.970588,1000,2337.852622
879.238754,1000,2369.433288
890.163934,1000,2398.851572
911.1,889,2517.997904
921.9,781,2539.999014
896.587031,1000,2567.440408
698.780488,1000,2597.396039
869.444444,1000,2628.233518
258.5,916,2657.402989
928.1,719,2680.695354
926.2,738,2788.614922
878.26087,1000,2819.204239
885.964912,1000,2848.017643
882.352941,1000,2879.740801
862.686567,1000,2909.702217
893.174061,1000,2938.9245
869.69697,1000,3053.378372
908.0,920,3083.245232
853.736655,1000,3112.885427
925.0,750,3137.690885
925.1,749,3160.370672
893.421053,1000,3194.451375
864.85623,1000,3229.947075
931.8,682,3352.584061
931.7,683,3375.331918
863.934426,1000,3410.516577
882.206406,1000,3442.004852
930.8,692,3461.996109
878.723404,1000,3493.176617
875.609756,1000,3522.953094
934.0,660,3621.1735
879.661017,1000,3648.994492
887.179487,1000,3678.201688
882.206406,1000,3707.475611
927.5,725,3728.963126
867.741935,1000,3757.145761
892.647059,1000,3785.890746
609.342561,1000,3892.83539
861.403509,1000,3921.895905
896.363636,1000,3947.814008
892.882562,1000,3977.429438
886.710963,1000,4006.177947
884.313725,1000,4034.9814
873.154362,1000,4142.657522
879.166667,1000,4171.682537
862.068966,1000,4200.472599
883.388704,1000,4229.756259
865.635739,1000,4258.790631
896.794872,1000,4288.055363
864.157706,1000,4395.311656
890.44586,1000,4424.374392
836.046512,1000,4453.676331
889.090909,1000,4482.700191
726.086957,1000,4510.240444
920.6,794,4532.399061
896.350365,1000,4561.225754
928.3,717,4660.10859
542.622951,1000,4688.921115
607.520891,1000,4717.790763
892.831541,1000,4747.43023
868.253968,1000,4776.236376
642.236025,1000,4803.486746
908.6,914,4907.611907
870.37037,1000,4936.646003
863.934426,1000,4962.993531
896.428571,1000,4991.819886
892.619926,1000,5021.3673
915.9,841,5045.32539
867.741935,1000,5074.520413
866.9967,1000,5181.63999
861.783439,1000,5210.417184
865.156794,1000,5239.540181
918.8,812,5261.946217
918.4,816,5286.692112
865.944272,1000,5315.937436
864.630225,1000,5343.312565
933.0,670,5440.895565
908.1,919,5467.156831
881.424149,1000,5496.058038
886.622074,1000,5525.494644
868.75,1000,5553.957687
884.126984,1000,5583.522992
688.690476,1000,5700.025633
892.094862,1000,5730.23177
889.547038,1000,5757.886536
705.555556,1000,5788.301132
893.78882,1000,5817.50906
923.0,770,5840.470378
893.006993,1000,5869.8218
933.8,662,5966.925239
853.333333,1000,5996.014158
743.657817,1000,6025.339481
845.205479,1000,6054.090977
876.588629,1000,6083.732114
848.012232,1000,6112.865821
885.611511,1000,6220.124883
875.535168,1000,6249.144512
890.196078,1000,6278.614925
926.5,735,6298.976816
890.415335,1000,6327.853139
797.610922,1000,6356.910403
930.2,698,6376.236211
892.395437,1000,6484.37273
752.852853,1000,6513.358183
901.8,982,6541.835535
709.94152,1000,6571.32464
882.698962,1000,6599.928827
930.5,695,6619.185062
888.549618,1000,6648.236755
939.3,607,6745.798904
868.19788,1000,6774.871239
930.9,691,6794.734957
865.034965,1000,6823.547263
363.768116,1000,6852.710995
896.197719,1000,6881.635237
896.677741,1000,6911.004979
871.223022,1000,7017.220724
925.9,741,7037.489566
570.454545,1000,7066.75751
892.619926,1000,7096.206652
933.0,670,7115.374451
881.481481,1000,7144.497229
872.972973,1000,7251.305541
643.975904,1000,7280.390759
387.62253,856,7304.876406
779.256966,1000,7333.139831
887.301587,1000,7361.785684
711.594203,1000,7391.20591
932.3,677,7410.440907
882.45614,1000,7517.601854
859.183673,1000,7546.940012
863.768116,1000,7575.784422
923.3,767,7596.901753
877.777778,1000,7626.162759
890.654206,1000,7654.89028
726.74772,1000,7684.41299
889.932886,1000,7793.27728
889.619377,1000,7822.99779
896.551724,1000,7851.638676
890.033223,1000,7881.16555
939.4,606,7898.593826
932.9,671,7919.251179
873.484848,1000,7947.878218
877.491961,1000,8052.906253
871.731449,1000,8081.894073
763.095238,1000,8111.23069
850.155763,1000,8140.079511
860.573477,1000,8169.626515
896.015936,1000,8198.197989
874.358974,1000,8306.143256
892.565056,1000,8335.082972
842.567568,1000,8363.981686
889.169675,1000,8392.98532
887.704918,1000,8421.718728
873.941368,1000,8450.750694
920.6,794,8553.235759
937.3,627,8570.646387
882.993197,1000,8600.496038
884.025559,1000,8629.369627
852.531646,1000,8658.674249
884.227129,1000,8687.5185
932.2,678,8706.548082
913.9,861,8811.8316
875.069252,1000,8841.157722
934.7,653,8859.78143
931.5,685,8879.491905
930.6,694,8898.626966
890.595611,1000,8927.539731
932.4,676,8948.91617
906.5,935,8976.207463
919.8,802,9076.786386
888.461538,1000,9105.740999
930.3,697,9125.13622
896.240602,1000,9154.452861
866.666667,1000,9183.796399
868.253968,1000,9212.818316
199.065421,1000,9241.999897
910.4,896,9347.089303
933.1,669,9366.481321
877.987421,1000,9395.228983
931.0,690,9416.491869
936.2,638,9434.768317
839.163498,1000,9463.791726
896.296296,1000,9492.946705
893.079585,1000,9600.906377
886.622074,1000,9629.965338
871.428571,1000,9659.169304
945.2,548,9674.945924
825.925926,1000,9703.979511
921.8,782,9725.807624
798.550725,1000,9754.473026
881.549815,1000,9862.833375
893.377483,1000,9891.479923
918.1,819,9916.299982
884.90566,1000,9944.937158
872.881356,1000,9973.833663
493.939394,1000,10002.940643
921.7,783,10024.549172
840.0,1000,10132.165255
707.971014,1000,10160.928647
871.223022,1000,10190.077249
931.6,684,10209.71281
881.949458,1000,10238.386473
917.9,821,10262.930132
937.5,625,10280.811839
892.619926,1000,10389.543667
896.491228,1000,10418.768098
893.288591,1000,10447.712598
740.707965,1000,10477.056597
882.935154,1000,10506.210425
896.598639,1000,10535.298871
