#{"t_start": 1781498531.5163872, "env_id": "CarRacing-v3"}
r,l,t
885.185185,1000,38.990091
860.912052,1000,68.489893
784.146341,1000,100.546799
847.712418,1000,129.211979
748.684211,1000,161.888121
861.165049,1000,192.026116
892.509363,1000,316.672831
896.376812,1000,343.124877
827.007299,1000,369.386228
-1.385315,868,396.998966
883.49835,1000,426.936395
879.020979,1000,458.565169
854.83871,1000,569.144642
921.0,790,592.145833
389.51049,1000,623.164627
880.263158,1000,654.233434
632.876712,1000,684.274854
863.815789,1000,713.6834
838.848921,1000,742.481732
928.7,713,841.395436
718.181818,1000,869.14798
874.910394,1000,899.544712
933.2,668,921.234947
788.475836,1000,950.377739
933.9,661,972.063579
886.348123,1000,1003.278055
932.7,673,1112.281268
872.789116,1000,1145.310016
921.7,783,1168.436673
580.13468,1000,1195.587748
929.1,709,1220.489066
869.072165,1000,1252.594195
921.4,786,1276.538291
58.357627,892,1388.861264
896.376812,1000,1419.773079
828.082192,1000,1449.655379
191.245578,728,1471.593122
576.666667,1000,1505.126344
889.655172,1000,1537.093225
469.659443,1000,1569.240483
896.884735,1000,1699.028529
915.3,847,1726.452708
864.664311,1000,1756.711371
603.333333,1000,1786.690231
889.051095,1000,1819.778556
865.779468,1000,1851.200329
882.206406,1000,1964.36711
856.081081,1000,1993.546435
877.987421,1000,2022.300635
722.857143,1000,2049.841154
886.928105,1000,2077.315711
923.1,769,2100.79978
912.9,871,2127.031176
918.4,816,2233.745368
912.4,876,2259.642753
890.566038,1000,2289.843903
884.732824,1000,2317.2346
932.2,678,2336.185659
513.772455,1000,2367.658211
289.465772,905,2394.621425
919.6,804,2511.573163
884.063745,1000,2537.499089
150.773994,1000,2566.74417
698.833819,1000,2596.709143
565.413534,1000,2627.518999
658.333333,1000,2659.160885
929.4,706,2768.35849
929.6,704,2788.970574
913.3,867,2816.013645
896.539792,1000,2844.915601
924.5,755,2867.6316
828.802589,1000,2897.985524
874.110032,1000,2927.669152
710.457516,1000,3041.456114
786.524823,1000,3072.621803
872.222222,1000,3104.542528
889.932886,1000,3136.714268
890.09901,1000,3168.704191
843.75,1000,3204.932171
872.881356,1000,3238.906607
876.588629,1000,3370.990664
901.2,988,3405.798335
889.966555,1000,3437.780784
941.0,590,3455.367557
863.333333,1000,3486.240585
672.307692,1000,3516.178983
872.508591,1000,3625.122402
889.761092,1000,3652.935064
896.478873,1000,3680.23132
932.5,675,3701.225809
892.156863,1000,3729.700373
885.714286,1000,3757.839199
867.741935,1000,3786.615459
924.8,752,3885.220994
859.119497,1000,3914.506636
869.604863,1000,3942.488174
881.549815,1000,3972.028177
890.415335,1000,4000.737534
845.512821,1000,4029.343974
889.051095,1000,4137.307686
882.578397,1000,4165.899113
880.916031,1000,4194.957949
883.92283,1000,4224.219735
886.666667,1000,4253.240259
927.2,728,4273.512651
875.088968,1000,4302.580114
