#{"t_start": 1781498531.4855306, "env_id": "CarRacing-v3"}
r,l,t
863.576159,1000,39.022087
873.244147,1000,68.520684
433.088235,1000,100.577843
883.164983,1000,129.242746
852.095808,1000,161.919411
605.084746,1000,192.059675
622.891566,1000,316.706051
711.688312,1000,343.159662
572.535211,1000,369.414026
936.0,640,388.279083
446.268657,1000,418.168911
926.1,739,443.103121
852.380952,1000,474.44582
884.90566,1000,584.401434
869.899666,1000,615.619658
617.687075,1000,646.26105
725.174825,1000,675.78313
936.1,639,695.006987
927.5,725,715.864807
870.394737,1000,744.851614
921.7,783,846.026415
865.299685,1000,874.188384
881.949458,1000,905.234124
851.219512,1000,934.737393
893.464052,1000,965.233142
855.835962,1000,996.409476
610.191083,1000,1116.322611
280.016388,950,1148.114253
553.594771,1000,1176.87143
845.619335,1000,1207.502916
438.167939,1000,1240.980592
882.578397,1000,1271.892273
887.381703,1000,1387.156098
846.043165,1000,1417.963392
867.261905,1000,1447.829536
892.982456,1000,1479.729529
685.15625,1000,1513.155436
851.661631,1000,1544.43145
924.0,760,1568.154058
587.878788,1000,1698.007834
939.1,609,1718.211844
530.03663,1000,1748.731375
879.591837,1000,1778.973021
937.2,628,1798.776831
870.909091,1000,1830.298563
151.602837,641,1851.024459
884.27673,1000,1964.291023
829.663609,1000,1993.429634
916.2,838,2016.42773
918.8,812,2038.937807
934.3,657,2057.373348
896.677741,1000,2086.798393
890.44586,1000,2116.444909
845.392491,1000,2229.635276
887.341772,1000,2258.91112
909.1,909,2286.873531
859.537572,1000,2314.361991
927.2,728,2334.271967
921.1,789,2359.476374
924.8,752,2382.612426
917.6,824,2499.088863
933.7,663,2518.264773
921.5,785,2540.356812
896.732026,1000,2567.768234
928.7,713,2590.017261
129.62963,1000,2620.430311
867.532468,1000,2652.335177
931.2,688,2673.236571
907.6,924,2787.623401
924.7,753,2809.347747
929.0,710,2831.882964
876.377953,1000,2861.346724
896.197719,1000,2892.695868
881.424149,1000,2921.996581
931.3,687,2941.832958
876.271186,1000,3056.372644
876.89769,1000,3088.361327
920.6,794,3112.513098
918.2,818,3139.269445
865.299685,1000,3171.526579
857.264957,1000,3207.382776
896.884735,1000,3241.526806
876.430976,1000,3373.67108
900.3,997,3408.7499
923.0,770,3433.513799
919.0,810,3457.644963
850.657895,1000,3488.583309
881.343284,1000,3518.440658
877.124183,1000,3627.323464
914.8,852,3649.507328
706.338028,1000,3678.690273
843.462898,1000,3707.965629
896.491228,1000,3736.193514
871.608833,1000,3764.416857
908.0,920,3791.394764
831.506849,1000,3898.433657
917.3,827,3922.930039
929.3,707,3941.70323
884.848485,1000,3971.300214
878.873239,1000,3999.903103
889.932886,1000,4028.512682
866.153846,1000,4136.515218
912.3,877,4159.934958
865.838509,1000,4189.079807
871.014493,1000,4218.159276
834.482759,1000,4247.422294
888.679245,1000,4276.486169
922.3,777,4299.910161
870.394737,1000,4407.554847
891.12426,1000,4436.517474
853.333333,1000,4465.934357
885.865724,1000,4494.74579
851.612903,1000,4522.360112
926.2,738,4542.910028
688.819876,1000,4571.882235
581.506849,1000,4677.803434
879.381443,1000,4706.671906
885.185185,1000,4736.324629
932.0,680,4755.001147
527.329193,1000,4783.728163
912.4,876,4810.023797
932.1,679,4828.854343
929.9,701,4927.825946
912.5,875,4951.162687
904.4,956,4976.705419
713.186813,1000,5006.141777
885.559567,1000,5034.491884
903.1,969,5062.601124
853.177258,1000,5170.138972
886.622074,1000,5198.760993
881.060606,1000,5228.008725
910.3,897,5254.444294
876.351351,1000,5281.538566
929.1,709,5303.720767
870.037453,1000,5332.519205
873.154362,1000,5438.847965
333.566434,1000,5467.069661
936.4,636,5485.004954
916.5,835,5510.233302
923.8,762,5531.21404
887.421384,1000,5559.676254
912.3,877,5586.353302
870.909091,1000,5705.080808
897.076023,1000,5733.94151
866.9967,1000,5762.719218
920.5,795,5785.76471
888.416988,1000,5815.170166
874.358974,1000,5843.848708
929.7,703,5863.801261
900.4,996,5971.255024
859.119497,1000,6000.373398
886.754967,1000,6029.5191
850.757576,1000,6058.430211
530.718954,1000,6088.185536
880.988593,1000,6117.331865
839.597315,1000,6224.427672
884.326019,1000,6253.492783
726.923077,1000,6282.891285
170.0,1000,6311.907044
884.848485,1000,6340.664685
892.565056,1000,6369.841423
871.830986,1000,6477.280701
930.8,692,6497.200976
933.0,670,6515.749383
871.518987,1000,6544.778569
923.3,767,6568.416723
879.591837,1000,6597.116382
909.0,910,6623.865582
941.9,581,6640.428585
876.744186,1000,6747.628831
889.285714,1000,6776.86772
917.4,826,6799.92985
871.786834,1000,6828.784099
890.033223,1000,6857.854101
866.257669,1000,6886.766145
922.9,771,6910.471086
909.1,909,7012.262241
890.506329,1000,7041.477705
193.375394,1000,7070.49266
928.8,712,7092.755169
864.401294,1000,7122.203669
809.677419,1000,7151.208306
885.130112,1000,7258.264211
152.827974,656,7276.621474
912.8,872,7301.532452
922.0,780,7322.12224
940.3,597,7339.027592
935.1,649,7359.015023
886.842105,1000,7388.205268
889.399293,1000,7415.613649
714.589666,1000,7522.855726
912.7,873,7548.992738
932.2,678,7568.106807
889.966555,1000,7596.713634
925.6,744,7619.687708
886.754967,1000,7648.389137
924.6,754,7669.016143
942.0,580,7686.215976
887.616099,1000,7795.196782
933.2,668,7816.468385
871.830986,1000,7845.329251
923.8,762,7866.43798
886.013986,1000,7895.978609
892.882562,1000,7924.791762
738.187702,1000,8031.614414
937.0,630,8049.339011
855.128205,1000,8078.308277
884.848485,1000,8107.655852
892.982456,1000,8136.344085
880.0,1000,8165.99205
717.891374,1000,8194.643797
889.864865,1000,8302.241564
892.907801,1000,8331.410434
722.695035,1000,8360.360385
934.7,653,8378.965812
918.9,811,8403.04018
941.8,582,8419.290209
888.636364,1000,8448.357726
926.8,732,8547.273589
885.074627,1000,8576.274195
855.696203,1000,8605.95127
886.15917,1000,8634.651554
879.020979,1000,8664.10474
883.606557,1000,8692.81397
862.025316,1000,8722.151545
922.7,773,8823.179347
921.7,783,8847.174084
920.7,793,8871.402289
547.482014,1000,8898.405438
884.984985,1000,8927.298508
809.407666,1000,8956.61539
922.3,777,8980.025326
938.7,613,9075.948122
893.957704,1000,9104.902547
887.096774,1000,9133.886476
930.6,694,9153.53883
