#{"t_start": 1781379320.5746238, "env_id": "CarRacing-v3"}
r,l,t
-49.090909,1000,31.950156
-52.522255,1000,62.084381
-41.780822,1000,92.229577
-36.170213,1000,124.400708
-50.331126,1000,158.164382
-59.854015,1000,193.965792
-49.80695,1000,288.616632
-23.954373,1000,324.443767
-75.0,1000,360.38243
-80.392157,1000,395.625035
-25.0,1000,428.472447
-19.58042,1000,462.740582
85.897436,1000,556.895551
-23.357664,1000,594.05057
152.252252,1000,627.795316
186.956522,1000,662.296581
-33.333333,1000,694.863339
46.938776,1000,728.111948
286.861314,1000,820.425622
225.153374,1000,851.102417
319.708029,1000,879.80812
630.375427,1000,908.24463
616.845878,1000,938.42744
199.03537,1000,965.423063
192.613636,1000,992.834285
773.076923,1000,1082.804487
485.034014,1000,1116.330716
387.719298,1000,1149.700397
639.583333,1000,1183.060148
407.936508,1000,1216.948906
888.636364,1000,1250.260811
222.289157,1000,1343.49662
235.423197,1000,1377.837314
488.815789,1000,1411.730196
560.714286,1000,1445.681278
386.30137,1000,1478.93985
485.209003,1000,1513.164942
613.286713,1000,1589.587037
350.331126,1000,1619.09006
571.009772,1000,1650.042284
256.466877,1000,1680.424474
365.116279,1000,1710.744068
555.405405,1000,1739.384251
100.626959,1000,1825.506802
523.239437,1000,1857.064076
587.285223,1000,1887.493147
294.230769,1000,1918.892651
731.460674,1000,1952.532954
298.773006,1000,1988.414243
819.504644,1000,2024.095812
911.3,887,2114.097114
645.762712,1000,2149.042209
773.065015,1000,2183.893585
818.518519,1000,2218.455935
733.333333,1000,2252.626659
682.178218,1000,2287.091923
246.863469,1000,2370.227403
670.967742,1000,2404.869994
857.746479,1000,2439.594441
390.131579,1000,2473.5614
896.138996,1000,2507.323551
317.218543,1000,2540.504325
727.179923,957,2638.786652
528.834356,1000,2668.281819
469.620253,1000,2698.682926
421.604938,1000,2730.212789
868.379447,1000,2763.079
782.0059,1000,2795.840021
805.405405,1000,2875.348959
443.726236,1000,2909.451467
602.786378,1000,2943.421863
385.623003,1000,2978.188024
578.456592,1000,3012.602121
832.432432,1000,3047.116745
499.29078,1000,3081.015136
556.565657,1000,3160.878338
288.513514,1000,3196.259755
510.561056,1000,3232.383925
851.724138,1000,3267.55541
865.517241,1000,3301.942394
602.194357,1000,3336.149346
559.574468,1000,3416.511257
844.262295,1000,3449.330332
888.188976,1000,3481.46004
560.25641,1000,3513.73741
597.080292,1000,3548.680354
617.171717,1000,3582.785519
335.897436,1000,3679.509277
703.921569,1000,3714.072738
759.872611,1000,3744.496886
889.795918,1000,3773.538317
810.344828,1000,3805.926098
853.667954,1000,3840.309536
515.853659,1000,3935.868007
644.027304,1000,3968.444443
876.821192,1000,4001.701404
866.257669,1000,4034.546379
706.020067,1000,4067.361202
922.2,778,4092.386251
922.3,777,4117.490013
791.22807,1000,4211.96692
834.065934,1000,4244.245347
823.913043,1000,4277.050469
827.631579,1000,4309.010974
810.447761,1000,4340.496835
836.908517,1000,4369.578004
896.632997,1000,4443.927141
872.027972,1000,4473.438908
823.076923,1000,4503.030332
393.333333,1000,4535.977864
928.6,714,4560.140096
822.330097,1000,4592.709197
925.6,744,4617.255835
826.829268,1000,4709.773794
856.521739,1000,4743.023786
836.026936,1000,4775.332401
863.50365,1000,4804.340827
818.367347,1000,4836.128956
675.641026,1000,4871.591473
411.705686,1000,4967.563518
627.272727,1000,5001.187765
890.322581,1000,5033.984196
917.5,825,5061.034279
799.696049,1000,5095.787738
872.318339,1000,5130.289333
790.784983,1000,5165.340041
854.063604,1000,5264.589941
222.78481,1000,5305.063552
860.629921,1000,5340.481358
751.132686,1000,5376.89743
784.984026,1000,5410.50572
485.820896,1000,5446.215551
841.780822,1000,5548.266369
807.462687,1000,5582.821327
827.325581,1000,5618.342269
843.333333,1000,5652.056846
