#{"t_start": 1781379320.56652, "env_id": "CarRacing-v3"}
r,l,t
-48.630137,1000,31.955726
-46.666667,1000,62.092845
-38.511327,1000,92.235101
-41.908714,1000,124.412336
-8.045977,1000,158.172446
-31.407942,1000,193.973073
-46.969697,1000,288.626764
-35.251799,1000,324.453419
-4.38247,1000,360.381749
-4.109589,1000,395.628492
-35.064935,1000,428.48565
-6.752412,1000,462.749498
-36.813187,1000,556.905014
-20.689655,1000,594.060298
256.115108,1000,627.803612
334.343434,1000,662.300033
295.104895,1000,694.873888
119.081272,1000,728.122696
248.684211,1000,820.433895
-24.914676,1000,851.100376
11.111111,1000,879.821554
829.961089,1000,908.250439
375.524476,1000,938.433735
775.0,1000,965.433574
415.570934,1000,992.840227
816.38796,1000,1082.812176
267.213115,1000,1116.340145
234.545455,1000,1149.711709
234.231806,1000,1183.073336
227.526132,1000,1216.954411
237.837838,1000,1250.26879
453.264605,1000,1343.505355
366.666667,1000,1377.844033
516.197183,1000,1411.742059
281.538462,1000,1445.689757
469.811321,1000,1478.947808
567.721519,1000,1513.17336
809.722222,1000,1589.597745
281.756757,1000,1619.099193
404.792332,1000,1650.050746
756.617647,1000,1680.433701
853.947368,1000,1710.75242
378.571429,1000,1739.388105
304.33213,1000,1825.520178
690.697674,1000,1857.071326
594.915254,1000,1887.503555
666.447368,1000,1918.902729
503.833866,1000,1952.540164
393.150685,1000,1988.424318
250.649351,1000,2024.103329
870.588235,1000,2118.146963
885.507246,1000,2153.0719
867.532468,1000,2187.903486
524.595469,1000,2222.168453
739.228296,1000,2256.507243
770.550162,1000,2290.931684
533.802817,1000,2374.009429
734.507042,1000,2408.948074
847.183099,1000,2443.629746
495.679012,1000,2478.017049
701.916933,1000,2511.280722
437.790698,1000,2544.564946
331.893688,1000,2643.201927
733.333333,1000,2672.667013
872.027972,1000,2703.476327
631.448763,1000,2735.321934
861.937716,1000,2768.504556
639.811912,1000,2801.190946
795.56962,1000,2880.801904
565.427509,1000,2914.828638
502.564103,1000,2948.902781
715.699659,1000,2983.589242
516.766467,1000,3017.814322
615.867159,1000,3052.518607
857.142857,1000,3086.210457
633.788396,1000,3165.980734
766.242038,1000,3201.868562
377.777778,1000,3237.45245
791.22807,1000,3273.861506
858.477509,1000,3307.095803
875.265018,1000,3342.350685
883.388704,1000,3421.863027
870.588235,1000,3454.851469
870.588235,1000,3486.602456
861.538462,1000,3519.669766
886.111111,1000,3553.870567
817.808219,1000,3588.131302
643.589744,1000,3685.026383
490.062112,1000,3719.472462
392.70073,1000,3749.025469
438.983051,1000,3778.13185
331.137725,1000,3811.211476
868.19788,1000,3845.700301
866.329966,1000,3941.241024
925.2,748,3965.269598
860.992908,1000,3998.614888
751.973684,1000,4031.08178
820.962199,1000,4064.047131
856.25,1000,4096.12018
880.13245,1000,4128.692611
865.648855,1000,4222.804205
878.417266,1000,4255.256675
896.453901,1000,4288.456238
893.690852,1000,4320.13121
926.1,739,4343.343039
888.929889,1000,4372.464139
685.294118,1000,4446.423347
845.255474,1000,4476.076395
790.282132,1000,4505.476795
849.090909,1000,4539.279562
902.3,977,4571.577372
860.854093,1000,4604.2465
937.4,626,4624.911808
896.153846,1000,4717.273601
856.834532,1000,4750.751021
844.444444,1000,4781.960972
934.7,653,4801.000479
848.220065,1000,4831.65834
915.5,845,4861.39248
892.619926,1000,4895.42096
852.380952,1000,4992.21033
840.199336,1000,5025.57857
821.311475,1000,5057.630199
863.087248,1000,5092.46288
794.039735,1000,5126.915798
810.394265,1000,5162.298707
835.483871,1000,5261.252695
879.865772,1000,5301.92762
882.578397,1000,5337.131454
585.897436,1000,5373.58895
871.428571,1000,5407.212675
853.846154,1000,5442.810083
896.389892,1000,5545.160804
832.307692,1000,5579.253472
916.1,839,5608.549229
878.33935,1000,5643.627484
870.779221,1000,5677.123914
390.066225,1000,5710.41569
593.430657,1000,5743.461916
576.258993,1000,5841.771956
816.923077,1000,5875.302412
661.09215,1000,5910.873948
864.285714,1000,5947.408349
58.075601,1000,5983.675316
163.850877,766,6011.320306
880.707395,1000,6118.37555
867.213115,1000,6153.762332
847.916667,1000,6188.757454
866.153846,1000,6224.440026
596.666667,1000,6259.174439
855.719557,1000,6295.350409
850.35461,1000,6392.912651
886.013986,1000,6429.025533
30.311321,396,6443.125732
917.4,826,6471.924035
877.777778,1000,6506.899415
552.671756,1000,6542.464439
889.583333,1000,6577.281421
853.405018,1000,6667.534517
892.957746,1000,6702.780223
883.221477,1000,6738.571734
828.104575,1000,6774.580349
864.157706,1000,6810.609541
880.46875,1000,6847.346961
847.194719,1000,6883.386277
872.125436,1000,6989.927647
847.530864,1000,7024.295639
841.520468,1000,7059.391685
870.760234,1000,7093.845755
863.934426,1000,7128.613347
893.006993,1000,7160.713879
872.881356,1000,7239.4053
875.903614,1000,7270.183953
830.463576,1000,7301.376354
880.842912,1000,7334.378213
924.8,752,7360.536241
286.654015,733,7385.467571
499.326599,1000,7419.843158
829.71246,1000,7514.638769
454.455446,1000,7549.531949
837.5,1000,7582.118054
847.540984,1000,7614.558563
514.649682,1000,7648.192994
861.783439,1000,7683.163013
881.949458,1000,7777.235734
567.870036,1000,7811.46886
785.093168,1000,7845.456148
770.860927,1000,7877.918196
401.818182,1000,7911.139166
663.44086,1000,7944.314295
710.810811,1000,8040.348228
661.71875,1000,8074.411356
830.693069,1000,8109.657559
447.368421,1000,8144.578755
612.5,1000,8178.580938
323.676012,1000,8210.440868
295.683453,1000,8287.128472
563.398693,1000,8317.610153
885.663082,1000,8348.944628
527.45098,1000,8379.560186
569.966997,1000,8410.007252
834.707904,1000,8441.186509
717.589577,1000,8471.701589
737.837838,1000,8558.190294
812.5,1000,8592.141626
852.380952,1000,8627.50064
880.327869,1000,8661.360596
860.784314,1000,8696.009771
790.034364,1000,8730.759553
928.9,711,8811.189576
690.613718,1000,8846.308845
929.8,702,8870.23616
888.679245,1000,8904.415422
716.733068,1000,8938.936651
819.003115,1000,8973.478098
618.120805,1000,9008.049994
874.522293,1000,9105.948896
877.04918,1000,9140.669873
870.909091,1000,9175.494628
406.060606,1000,9209.961026
914.0,860,9239.767772
875.524476,1000,9274.29346
910.4,896,9365.003189
858.015267,1000,9399.980985
865.944272,1000,9434.929026
907.2,928,9467.018716
830.81761,1000,9501.505134
884.790875,1000,9536.579843
851.140065,1000,9570.621706
789.632107,1000,9668.364752
831.372549,1000,9703.363351
869.491525,1000,9737.726048
872.972973,1000,9772.275043
892.366412,1000,9807.23557
617.770035,1000,9841.531107
872.318339,1000,9939.31941
889.010989,1000,9974.31628
879.238754,1000,10007.5611
886.486486,1000,10042.032723
896.428571,1000,10076.452241
911.3,887,10108.637654
532.727273,1000,10205.531154
921.1,789,10233.011499
868.531469,1000,10268.259408
877.419355,1000,10302.568222
889.619377,1000,10337.153927
865.079365,1000,10371.48596
513.636364,1000,10406.067919
873.421927,1000,10504.166813
918.7,813,10532.611264
918.9,811,10560.875437
893.589744,1000,10595.722096
858.762887,1000,10630.431667
874.545455,1000,10665.222605
657.961783,1000,10745.250954
691.798107,1000,10778.332217
890.25974,1000,10811.891221
880.392157,1000,10844.581462
802.017291,1000,10877.677215
866.360856,1000,10909.690721
877.564103,1000,10989.260575
453.333333,1000,11023.903857
313.194444,1000,11058.211698
890.131579,1000,11092.948454
564.652568,1000,11127.005181
883.443709,1000,11161.251545
791.176471,1000,11194.241907
364.615385,1000,11289.452973
772.053872,1000,11324.841561
361.7737,1000,11359.116812
876.430976,1000,11393.792719
505.442177,1000,11427.880885
930.7,693,11452.274839
866.666667,1000,11538.781773
846.127946,1000,11573.836068
879.79798,1000,11608.297717
835.849057,1000,11642.448398
831.972789,1000,11676.651873
882.394366,1000,11711.550953
766.666667,1000,11746.818898
527.45098,1000,11838.800231
54.706849,269,11847.558905
577.91411,1000,11882.026021
869.811321,1000,11916.3157
592.832765,1000,11950.187407
916.5,835,11978.433552
837.5,1000,12012.702867
495.238095,1000,12108.022998
823.076923,1000,12141.926236
657.097792,1000,12176.913213
833.579336,1000,12210.826603
391.408935,1000,12245.552466
808.450704,1000,12279.796751
892.805755,1000,12375.917575
920.7,793,12402.6761
630.909091,1000,12436.634353
778.326996,1000,12471.589159
470.977918,1000,12506.211964
380.392157,1000,12541.335002
864.980545,1000,12637.615775
883.164983,1000,12672.707362
676.0,1000,12706.944891
552.317881,1000,12741.450035
481.993569,1000,12775.27729
831.271478,1000,12809.761436
860.0,1000,12844.506763
537.630662,1000,12943.474771
470.121951,1000,12977.898335
269.426752,1000,13012.835594
791.608392,1000,13047.020808
425.59727,1000,13081.385967
56.934307,1000,13115.616939
878.947368,1000,13211.994994
689.308176,1000,13247.784798
541.447368,1000,13281.509292
333.021807,1000,13314.996224
831.464174,1000,13347.023683
589.922481,1000,13379.161253
515.635179,1000,13467.328689
592.307692,1000,13501.850383
490.57971,1000,13537.066808
885.611511,1000,13572.193366
799.653979,1000,13607.247061
672.38806,1000,13641.446703
930.6,694,13665.812428
885.507246,1000,13762.007075
889.795918,1000,13797.235363
880.830671,1000,13832.241449
861.19403,1000,13868.066318
726.771654,1000,13902.260867
836.026936,1000,13936.698457
830.313589,1000,14033.457565
860.352423,1000,14067.439455
807.142857,1000,14102.38285
454.285714,1000,14137.503512
859.51417,1000,14172.668043
388.054608,1000,14205.851743
873.244147,1000,14288.315209
-37.289041,778,14315.500515
753.658537,1000,14350.001711
