#{"t_start": 1781379320.574571, "env_id": "CarRacing-v3"}
r,l,t
-57.09571,1000,31.945064
-40.766551,1000,62.087228
-63.087248,1000,92.227104
-12.5,1000,124.404526
-12.0,1000,158.162859
-39.849624,1000,193.965111
-58.598726,1000,288.618942
-15.254237,1000,324.445358
-50.570342,1000,360.378582
-22.558923,1000,395.623889
-47.916667,1000,428.471621
-19.161677,1000,462.743812
189.473684,1000,556.890151
165.232975,1000,594.056477
65.540541,1000,627.797567
254.098361,1000,662.294849
151.592357,1000,694.865757
295.189003,1000,728.114307
44.486692,1000,820.425873
389.932886,1000,851.094652
157.042254,1000,879.811565
32.890365,1000,908.243965
87.969925,1000,938.423684
214.984709,1000,965.425798
62.264151,1000,992.833364
576.975945,1000,1082.805902
357.912458,1000,1116.327941
758.921162,1000,1149.702048
826.923077,1000,1183.061278
318.181818,1000,1216.94552
308.496732,1000,1250.261403
435.25641,1000,1343.495838
295.604396,1000,1377.835887
361.783439,1000,1411.732135
471.917808,1000,1445.683936
528.571429,1000,1478.939797
271.527778,1000,1513.159328
394.208494,1000,1589.588347
806.896552,1000,1619.088952
871.962617,1000,1650.045512
526.666667,1000,1680.423754
531.756757,1000,1710.742589
834.545455,1000,1739.384694
220.689655,1000,1825.508237
229.62963,1000,1857.064324
512.903226,1000,1887.497062
609.459459,1000,1918.893717
880.769231,1000,1952.52928
390.0,1000,1988.415876
269.77492,1000,2024.099689
704.964539,1000,2118.148019
563.522013,1000,2153.062124
504.895105,1000,2187.895468
349.685535,1000,2222.16168
753.503185,1000,2256.497371
179.310345,1000,2290.930247
871.014493,1000,2374.001527
763.333333,1000,2408.94439
790.977444,1000,2443.621515
741.059603,1000,2478.008718
694.952681,1000,2511.279546
231.343284,1000,2544.554005
6.712734,432,2559.626678
825.266904,1000,2656.101622
348.905109,1000,2685.509735
830.379747,1000,2717.139994
541.114983,1000,2749.723434
896.441281,1000,2782.544494
412.455516,1000,2815.259167
665.273312,1000,2895.307173
827.797834,1000,2929.42336
775.420875,1000,2963.297416
764.963504,1000,2998.570408
685.478548,1000,3032.437911
723.104693,1000,3067.256463
750.187266,1000,3146.757638
810.652921,1000,3180.722918
751.851852,1000,3217.677454
800.70922,1000,3252.124143
738.983051,1000,3288.610036
873.421927,1000,3321.872036
875.460123,1000,3402.543319
870.099668,1000,3435.878827
923.7,763,3461.334422
679.411765,1000,3492.90563
62.264413,478,3507.81622
851.557093,1000,3542.568739
867.153285,1000,3576.966017
475.862069,1000,3673.748376
792.61745,1000,3708.426525
523.076923,1000,3739.643377
867.105263,1000,3768.680968
534.969325,1000,3800.511434
825.266904,1000,3834.704407
842.760943,1000,3868.467672
569.902913,1000,3962.371183
784.735202,1000,3995.976701
884.567901,1000,4028.900996
867.42671,1000,4061.812818
855.32646,1000,4093.891254
878.395062,1000,4126.367965
603.703704,1000,4220.420744
922.4,776,4245.82233
34.414741,370,4257.596664
854.861111,1000,4290.664164
862.318841,1000,4322.415501
855.555556,1000,4352.680973
916.0,840,4377.298455
847.735192,1000,4452.005052
846.666667,1000,4481.71484
550.746269,1000,4511.22171
857.597173,1000,4545.228244
933.2,668,4566.882574
664.516129,1000,4599.709422
821.311475,1000,4633.02615
849.044586,1000,4725.326399
864.539007,1000,4758.320846
863.50365,1000,4788.819143
925.5,745,4810.141423
691.044776,1000,4844.188782
873.59736,1000,4878.58043
814.285714,1000,4974.479841
861.267606,1000,5008.113574
870.588235,1000,5040.618664
926.3,737,5065.489513
666.323024,1000,5100.165216
854.861111,1000,5134.938197
824.731183,1000,5169.38051
874.358974,1000,5274.071422
879.674797,1000,5309.459815
871.929825,1000,5345.252066
936.2,638,5368.70409
908.0,920,5399.940495
862.121212,1000,5434.769156
885.714286,1000,5537.409894
863.50365,1000,5572.112292
688.395904,1000,5606.493334
829.577465,1000,5641.6739
861.538462,1000,5675.210137
869.69697,1000,5708.356735
896.515679,1000,5741.569693
383.221477,1000,5839.642662
838.511327,1000,5873.344424
866.542751,1000,5908.724561
350.511945,1000,5945.435769
68.38488,1000,5981.549972
896.655518,1000,6017.950102
871.119134,1000,6124.464513
874.110032,1000,6159.744818
833.579336,1000,6195.19747
826.199262,1000,6230.293191
859.119497,1000,6265.093591
508.832808,1000,6301.609416
161.437908,1000,6399.318933
842.084942,1000,6435.312156
889.932886,1000,6470.236059
286.811111,994,6505.049682
879.79798,1000,6540.49823
878.021978,1000,6575.443168
877.272727,1000,6665.646031
873.509934,1000,6700.809292
875.438596,1000,6736.619686
893.243243,1000,6772.617544
854.983923,1000,6808.630127
873.38403,1000,6845.487698
826.421405,1000,6881.546147
882.394366,1000,6988.032108
636.654804,1000,7022.464463
924.8,752,7048.691738
823.566879,1000,7083.172894
833.534743,1000,7118.17371
673.291925,1000,7151.36356
907.7,923,7228.007377
921.7,783,7252.123306
829.032258,1000,7282.919312
630.215827,1000,7314.465433
885.714286,1000,7348.272645
830.693069,1000,7382.65243
884.962406,1000,7416.890023
832.038835,1000,7511.833978
609.897611,1000,7546.741783
882.638889,1000,7579.600521
798.648649,1000,7612.136169
892.1875,1000,7645.485585
864.285714,1000,7680.541472
840.625,1000,7774.637185
424.647887,1000,7808.687502
596.202532,1000,7842.781693
556.765677,1000,7874.726078
514.814815,1000,7908.246271
415.570934,1000,7941.433558
641.134752,1000,8037.808924
392.01278,1000,8071.425282
819.117647,1000,8106.785947
706.228374,1000,8141.791955
424.590164,1000,8175.618817
388.721805,1000,8207.577376
136.842105,1000,8284.67255
591.275168,1000,8315.147293
655.172414,1000,8346.487474
440.069686,1000,8377.045306
910.0,900,8404.692135
583.794466,1000,8435.160638
615.654952,1000,8466.122785
865.116279,1000,8552.522113
736.363636,1000,8586.041978
868.12749,1000,8621.085509
857.746479,1000,8655.003051
799.280576,1000,8689.847718
594.852941,1000,8724.072786
372.972973,1000,8814.910758
929.5,705,8840.013352
913.5,865,8869.417412
879.522184,1000,8903.591496
884.90566,1000,8938.093989
853.947368,1000,8972.623326
840.740741,1000,9007.19172
920.3,797,9097.854174
853.177258,1000,9132.553258
830.930931,1000,9167.543233
892.307692,1000,9202.452992
863.235294,1000,9236.598069
883.739837,1000,9271.124603
887.301587,1000,9365.591594
892.565056,1000,9400.594796
878.181818,1000,9435.514333
869.491525,1000,9470.249442
876.027397,1000,9504.474173
863.576159,1000,9539.525704
572.364672,1000,9636.440351
907.8,922,9668.758431
884.126984,1000,9703.745784
832.862191,1000,9738.139862
854.83871,1000,9772.66677
670.186335,1000,9807.622869
881.481481,1000,9841.893101
913.0,870,9934.806382
852.861953,1000,9970.043878
541.509434,1000,10003.56214
885.074627,1000,10037.832093
572.354949,1000,10072.548762
815.824916,1000,10108.389772
836.241611,1000,10205.299375
569.781931,1000,10240.684876
892.727273,1000,10275.113164
860.526316,1000,10309.548481
309.367398,923,10341.390252
915.4,846,10370.520956
867.213115,1000,10405.165459
912.4,876,10498.943692
870.37037,1000,10533.913276
883.49835,1000,10568.153161
889.208633,1000,10603.417921
453.264605,1000,10638.202696
893.710692,1000,10673.332094
919.7,803,10746.134233
872.789116,1000,10779.290899
914.4,856,10808.163983
412.121212,1000,10840.820647
903.5,965,10872.549463
892.509363,1000,10904.932122
885.074627,1000,10938.55863
871.608833,1000,11018.649861
862.711864,1000,11053.111335
576.567657,1000,11087.47995
730.935252,1000,11122.091004
878.494624,1000,11156.453943
864.516129,1000,11189.398667
879.865772,1000,11284.198913
873.509934,1000,11319.494182
549.446494,1000,11353.967845
930.6,694,11377.536443
464.606742,1000,11412.199216
896.621622,1000,11447.00345
848.717949,1000,11533.972825
596.369637,1000,11568.782224
877.186312,1000,11603.304235
815.360502,1000,11637.419115
444.802867,1000,11671.510874
866.216216,1000,11706.319458
830.501931,1000,11741.469953
566.666667,1000,11833.731192
611.428571,1000,11867.530141
466.037736,1000,11902.396538
822.580645,1000,11936.002822
883.974359,1000,11969.908837
822.558923,1000,12003.740362
771.794872,1000,12099.161059
362.450593,1000,12133.207505
675.700935,1000,12168.237898
726.666667,1000,12202.26414
703.921569,1000,12237.023062
819.871795,1000,12271.030929
849.80695,1000,12367.071692
800.355872,1000,12401.124836
800.343643,1000,12435.086024
818.439716,1000,12470.151495
483.333333,1000,12504.709592
857.236842,1000,12539.497703
432.871972,1000,12635.950254
828.79257,1000,12671.151454
825.675676,1000,12705.369263
436.585366,1000,12739.880831
890.25974,1000,12773.832025
654.098361,1000,12808.088199
817.266187,1000,12842.88147
868.641115,1000,12941.838621
875.609756,1000,12976.157053
756.338028,1000,13011.177104
602.422145,1000,13045.531405
536.690647,1000,13079.794479
377.203647,1000,13113.772812
830.0,1000,13210.400286
507.594937,1000,13246.150521
536.094675,1000,13279.989822
885.611511,1000,13313.208324
893.006993,1000,13345.607252
704.469274,1000,13377.662606
608.029197,1000,13465.906379
886.206897,1000,13500.125834
610.09772,1000,13535.119917
654.716981,1000,13570.576079
915.6,844,13600.222619
764.951768,1000,13634.44482
849.367089,1000,13669.30035
729.351536,1000,13765.680352
803.97351,1000,13800.802017
871.962617,1000,13835.752776
632.026144,1000,13871.750402
592.307692,1000,13905.874928
860.912052,1000,13940.416414
930.3,697,14026.613475
860.629921,1000,14060.46176
272.307692,1000,14095.872419
870.491803,1000,14130.604432
871.326165,1000,14165.797511
509.589041,1000,14198.972539
512.781955,1000,14281.409994
636.842105,1000,14316.349989
506.451613,1000,14350.756951
837.956204,1000,14385.918092
385.40146,1000,14420.712017
878.10219,1000,14455.894153
887.447699,1000,14489.924295
546.464646,1000,14585.034719
835.361217,1000,14619.824757
847.368421,1000,14654.8651
889.090909,1000,14689.400756
915.5,845,14718.355564
856.375839,1000,14753.891245
916.0,840,14846.068035
933.1,669,14869.112455
896.402878,1000,14903.12645
