#{"t_start": 1781379320.4929469, "env_id": "CarRacing-v3"}
r,l,t
-49.494949,1000,32.029418
-32.539683,1000,62.166305
-29.104478,1000,92.311619
-44.444444,1000,124.486239
-18.215613,1000,158.247166
-71.962617,1000,194.046341
-51.298701,1000,288.700554
-37.254902,1000,324.526189
-67.741935,1000,360.456819
-35.59322,1000,395.702198
-29.292929,1000,428.554385
3.703704,1000,462.821988
174.590164,1000,556.978063
216.793893,1000,594.132995
197.805643,1000,627.880382
353.488372,1000,662.378096
73.285199,1000,694.947439
188.52459,1000,728.19597
305.594406,1000,820.504768
266.666667,1000,851.179914
777.55102,1000,879.888761
291.608392,1000,908.32479
295.104895,1000,938.502269
417.133956,1000,965.508661
220.261438,1000,992.919577
18.589744,1000,1082.883485
845.454545,1000,1116.41188
346.043165,1000,1149.785715
201.470588,1000,1183.142015
537.254902,1000,1217.027112
880.842912,1000,1250.340607
822.779923,1000,1343.579809
445.801527,1000,1377.91439
826.470588,1000,1411.812458
790.10989,1000,1445.766317
687.769784,1000,1479.021478
473.825503,1000,1513.247383
322.297297,1000,1589.66989
870.338983,1000,1619.171547
173.255814,1000,1650.126072
655.172414,1000,1680.507232
740.531561,1000,1710.826022
385.049834,1000,1739.463753
173.972603,1000,1825.593196
264.912281,1000,1857.14365
668.292683,1000,1887.580007
541.843972,1000,1918.975952
863.855422,1000,1952.614979
586.27451,1000,1988.497601
856.521739,1000,2024.178965
829.054054,1000,2118.229288
826.282051,1000,2153.142079
859.349593,1000,2187.976929
233.333333,1000,2222.241777
901.1,989,2256.16118
631.034483,1000,2290.578662
249.056604,1000,2373.717596
699.227799,1000,2408.670357
828.571429,1000,2443.30795
718.815331,1000,2477.687946
785.521886,1000,2510.936336
754.368932,1000,2544.240718
239.041096,1000,2642.939205
726.666667,1000,2672.390841
860.288809,1000,2703.197171
824.092409,1000,2735.033855
537.735849,1000,2768.203762
783.561644,1000,2800.895306
873.977695,1000,2880.480265
850.530035,1000,2914.526824
868.421053,1000,2948.618143
780.136986,1000,2983.28427
851.388889,1000,3017.506143
854.703833,1000,3052.197888
855.05618,1000,3085.873475
819.58042,1000,3165.690867
821.985816,1000,3201.352989
789.795918,1000,3237.172293
446.052632,1000,3273.523837
428.481013,1000,3306.743133
400.0,1000,3342.000849
925.8,742,3412.831984
892.805755,1000,3445.746429
882.517483,1000,3478.031507
469.96587,1000,3509.874474
829.62963,1000,3544.68041
900.0,1000,3579.176792
591.318328,1000,3675.739785
194.783045,894,3707.026322
870.80292,1000,3738.481773
878.021978,1000,3767.406684
209.375,1000,3798.634665
946.4,536,3817.414692
840.438871,1000,3851.121279
558.227848,1000,3946.154891
348.717949,1000,3978.869729
889.323843,1000,4011.94678
602.508961,1000,4045.005667
889.89899,1000,4077.601167
883.713355,1000,4109.485816
936.6,634,4130.258495
857.236842,1000,4224.401378
865.870307,1000,4256.854402
875.0,1000,4289.997497
893.464052,1000,4321.740095
358.90411,1000,4352.040872
844.237918,1000,4381.151604
856.790123,1000,4456.006189
818.831169,1000,4485.709761
872.60274,1000,4515.803207
842.965779,1000,4549.79807
916.4,836,4577.130293
930.2,698,4599.887085
888.636364,1000,4633.193054
755.384615,1000,4725.481578
875.265018,1000,4758.48049
